t,p,rhoL,rhoV,hL,hV,delta_h,sL,sV,delta_s,vL,vV
16.0,0.001 818 8,998.9,0.013 645,67.17,2530.2,2463.0,0.238 97,8.757,8.518,1.001 10,73 286.
17.0,0.001 938 4,998.73,0.014 493,71.36,2532.0,2460.6,0.253 43,8.7339,8.4805,1.001 27,69 001.
18.0,0.002 064 7,998.55,0.015 385,75.54,2533.8,2458.3,0.267 83,8.7111,8.4433,1.001 45,64 998.
19.0,0.002 198 3,998.36,0.016 325,79.73,2535.6,2455.9,0.282 18,8.6884,8.4063,1.001 64,61 256.
20.0,0.002 339 3,998.16,0.017 314,83.91,2537.4,2453.5,0.296 48,8.666,8.3695,1.001 84,57 757.
21.0,0.002 488 2,997.95,0.018 354,88.1,2539.3,2451.2,0.310 73,8.6437,8.333,1.002 05,54 483.
22.0,0.002 645 3,997.73,0.019 448,92.28,2541.1,2448.8,0.324 93,8.6217,8.2967,1.002 28,51 418.
23.0,0.002 811 1,997.5,0.020 598,96.46,2542.9,2446.4,0.339 08,8.5998,8.2607,1.002 51,48 548.
24.0,0.002 985 8,997.25,0.021 806,100.65,2544.7,2444.0,0.353 18,8.5781,8.225,1.002 75,45 858.
25.0,0.003 169 9,997.0,0.023 075,104.83,2546.5,2441.7,0.367 22,8.5566,8.1894,1.003 01,43 337.
26.0,0.003 363 9,996.74,0.024 406,109.01,2548.3,2439.3,0.381 23,8.5353,8.1541,1.003 27,40 973.
27.0,0.003 568 1,996.47,0.025 804,113.19,2550.1,2436.9,0.395 18,8.5142,8.1191,1.003 54,38 754.
28.0,0.003 783 1,996.19,0.027 269,117.37,2551.9,2434.6,0.409 08,8.4933,8.0842,1.003 82,36 672.
29.0,0.004 009 2,995.9,0.028 805,121.55,2553.7,2432.2,0.422 94,8.4725,8.0496,1.004 11,34 716.
30.0,0.004 247 0,995.61,0.030 415,125.73,2555.5,2429.8,0.436 75,8.452,8.0152,1.004 41,32 878.
31.0,0.004 496 9,995.3,0.032 102,129.91,2557.3,2427.4,0.450 52,8.4316,7.981,1.004 72,31 151.
32.0,0.004 759 6,994.99,0.033 868,134.09,2559.2,2425.1,0.464 24,8.4113,7.9471,1.005 04,29 526.
33.0,0.005 035 4,994.66,0.035 717,138.27,2561.0,2422.7,0.477 92,8.3913,7.9134,1.005 37,27 998.
34.0,0.005 325 1,994.33,0.037 651,142.45,2562.8,2420.3,0.491 55,8.3714,7.8799,1.005 70,26 560.
35.0,0.005 629 0,993.99,0.039 674,146.63,2564.5,2417.9,0.505 13,8.3517,7.8466,1.006 05,25 205.
36.0,0.005 947 9,993.64,0.041 790,150.81,2566.3,2415.5,0.518 67,8.3321,7.8135,1.006 40,23 929.
37.0,0.006 282 3,993.29,0.044 001,154.99,2568.1,2413.1,0.532 17,8.3127,7.7806,1.006 76,22 727.
38.0,0.006 632 8,992.92,0.046 311,159.17,2569.9,2410.8,0.545 62,8.2935,7.7479,1.007 13,21 593.
39.0,0.007 000 2,992.55,0.048 723,163.35,2571.7,2408.4,0.559 03,8.2745,7.7154,1.007 50,20 524.
40.0,0.007 384 9,992.18,0.051 242,167.53,2573.5,2406.0,0.572 40,8.2555,7.6831,1.007 89,19 515.
41.0,0.007 787 8,991.79,0.053 871,171.71,2575.3,2403.6,0.585 73,8.2368,7.6511,1.008 28,18 563.
42.0,0.008 209 6,991.4,0.056 614,175.89,2577.1,2401.2,0.599 01,8.2182,7.6192,1.008 68,17 664.
43.0,0.008 650 8,991.0,0.059 474,180.07,2578.9,2398.8,0.612 25,8.1998,7.5875,1.009 09,16 814.
44.0,0.009 112 4,990.59,0.062 457,184.25,2580.6,2396.4,0.625 45,8.1815,7.556,1.009 50,16 011.
45.0,0.009 595 0,990.17,0.065 565,188.43,2582.4,2394.0,0.638 61,8.1633,7.5247,1.009 92,15 252.
46.0,0.010 099,989.75,0.068 803,192.62,2584.2,2391.6,0.651 73,8.1453,7.4936,1.010 36,14 534.
47.0,0.010 627,989.32,0.072 176,196.8,2586.0,2389.2,0.664 81,8.1275,7.4627,1.010 79,13 855.
48.0,0.011 177,988.89,0.075 688,200.98,2587.8,2386.8,0.677 85,8.1098,7.432,1.011 24,13 212.
49.0,0.011 752,988.44,0.079 343,205.16,2589.5,2384.4,0.690 85,8.0922,7.4014,1.011 69,12 603.
50.0,0.012 352,988.0,0.083 147,209.34,2591.3,2381.9,0.703 81,8.0748,7.371,1.012 15,12 027.
51.0,0.012 978,987.54,0.087 103,213.52,2593.1,2379.5,0.716 73,8.0576,7.3408,1.012 62,11 481.
52.0,0.013 631,987.08,0.091 217,217.71,2594.8,2377.1,0.729 61,8.0404,7.3108,1.013 09,10 963.
53.0,0.014 312,986.61,0.095 494,221.89,2596.6,2374.7,0.742 45,8.0234,7.281,1.013 57,10 472.
54.0,0.015 022,986.14,0.099 938,226.07,2598.3,2372.3,0.755 26,8.0066,7.2513,1.014 06,10 006.
71.0,0.032 575,977.16,0.206 61,297.26,2627.8,2330.5,0.967 33,7.7392,6.7719,1.023 37,4840.0
72.0,0.034 000,976.58,0.215 07,301.45,2629.5,2328.1,0.979 49,7.7246,6.7451,1.023 98,4649.6
73.0,0.035 478,976.0,0.223 82,305.64,2631.2,2325.6,0.991 61,7.71,6.7184,1.024 59,4468.0
74.0,0.037 009,975.41,0.232 85,309.84,2632.9,2323.1,1.0037,7.6955,6.6918,1.025 21,4294.5
75.0,0.038 595,974.81,0.242 19,314.03,2634.6,2320.6,1.0158,7.6812,6.6654,1.025 84,4128.9
76.0,0.040 239,974.22,0.251 84,318.22,2636.3,2318.1,1.0278,7.667,6.6392,1.026 47,3970.8
77.0,0.041 941,973.61,0.261 80,322.42,2638.0,2315.6,1.0398,7.6528,6.613,1.027 10,3819.7
78.0,0.043 703,973.0,0.272 09,326.62,2639.7,2313.0,1.0517,7.6388,6.5871,1.027 75,3675.2
79.0,0.045 527,972.39,0.282 71,330.81,2641.3,2310.5,1.0637,7.6249,6.5612,1.028 40,3537.2
80.0,0.047 414,971.77,0.293 67,335.01,2643.0,2308.0,1.0756,7.6111,6.5355,1.029 05,3405.2
81.0,0.049 367,971.14,0.304 98,339.21,2644.7,2305.5,1.0874,7.5973,6.5099,1.029 72,3278.9
82.0,0.051 387,970.51,0.316 65,343.41,2646.4,2302.9,1.0993,7.5837,6.4844,1.030 38,3158.1
83.0,0.053 476,969.88,0.328 68,347.61,2648.0,2300.4,1.1111,7.5702,6.4591,1.031 06,3042.5
84.0,0.055 635,969.24,0.341 09,351.81,2649.7,2297.9,1.1229,7.5567,6.4339,1.031 74,2931.8
85.0,0.057 867,968.59,0.353 88,356.01,2651.3,2295.3,1.1346,7.5434,6.4088,1.032 43,2825.8
86.0,0.060 173,967.94,0.367 06,360.22,2653.0,2292.8,1.1463,7.5302,6.3838,1.033 12,2724.4
87.0,0.062 556,967.29,0.380 64,364.42,2654.6,2290.2,1.1580,7.517,6.359,1.033 82,2627.1
88.0,0.065 017,966.63,0.394 64,368.63,2656.3,2287.6,1.1696,7.504,6.3343,1.034 52,2534.0
89.0,0.067 558,965.96,0.409 05,372.83,2657.9,2285.1,1.1813,7.491,6.3097,1.035 24,2444.7
90.0,0.070 182,965.3,0.423 90,377.04,2659.5,2282.5,1.1929,7.4781,6.2853,1.035 95,2359.1
91.0,0.072 890,964.62,0.439 18,381.25,2661.2,2279.9,1.2044,7.4653,6.2609,1.036 68,2277.0
92.0,0.075 684,963.94,0.454 91,385.46,2662.8,2277.3,1.2160,7.4526,6.2367,1.037 41,2198.2
