p,t,rhoL,rhoV,hL,hV,delta_h,sL,sV,delta_s,vL,vV
0.005,32.874,994.7,0.035 480,137.75,2560.7,2423.0,0.476 20,8.3938,7.9176,1.005 33,28 185.
0.0055,34.581,994.13,0.038 816,144.88,2563.8,2418.9,0.499 45,8.3599,7.8605,1.005 90,25 762.
0.006,36.159,993.59,0.042 135,151.48,2566.6,2415.2,0.520 82,8.329,7.8082,1.006 45,23 733.
0.0065,37.627,993.06,0.045 436,157.61,2569.3,2411.6,0.540 60,8.3007,7.7601,1.006 99,22 009.
0.007,39.0,992.55,0.048 722,163.35,2571.7,2408.4,0.559 03,8.2745,7.7154,1.007 50,20 524.
0.0075,40.29,992.06,0.051 994,168.75,2574.0,2405.3,0.576 27,8.2501,7.6738,1.008 00,19 233.
0.008,41.509,991.59,0.055 252,173.84,2576.2,2402.4,0.592 49,8.2273,7.6348,1.008 48,18 099.
0.0085,42.663,991.13,0.058 498,178.67,2578.3,2399.6,0.607 80,8.206,7.5982,1.008 95,17 095.
0.009,43.761,990.69,0.061 731,183.25,2580.2,2397.0,0.622 30,8.1858,7.5635,1.009 40,16 199.
0.0095,44.807,990.25,0.064 954,187.63,2582.1,2394.5,0.636 07,8.1668,7.5308,1.009 84,15 396.
0.01,45.806,989.83,0.068 166,191.81,2583.9,2392.1,0.649 20,8.1488,7.4996,1.010 27,14 670.
0.011,47.683,989.03,0.074 560,199.65,2587.2,2387.5,0.673 72,8.1154,7.4417,1.011 10,13 412.
0.012,49.419,988.26,0.080 917,206.91,2590.3,2383.4,0.696 28,8.0849,7.3887,1.011 88,12 358.
0.013,51.034,987.53,0.087 242,213.67,2593.1,2379.4,0.717 17,8.057,7.3398,1.012 63,11 462.
0.014,52.547,986.82,0.093 535,219.99,2595.8,2375.8,0.736 64,8.0311,7.2945,1.013 35,10 691.
0.016,55.313,985.5,0.106 04,231.57,2600.6,2369.1,0.772 01,7.9846,7.2126,1.014 71,9430.6
0.018,57.798,984.28,0.118 44,241.96,2605.0,2363.0,0.803 55,7.9437,7.1402,1.015 97,8443.1
0.02,60.058,983.13,0.130 75,251.42,2608.9,2357.5,0.832 02,7.9072,7.0752,1.017 16,7648.0
0.024,64.053,981.03,0.155 15,268.15,2615.9,2347.7,0.881 91,7.8442,6.9623,1.019 34,6445.3
0.028,67.518,979.13,0.179 28,282.66,2621.8,2339.2,0.924 72,7.7912,6.8664,1.021 31,5577.8
0.032,70.586,977.4,0.203 19,295.52,2627.1,2331.6,0.962 28,7.7453,6.783,1.023 12,4921.5
0.036,73.345,975.8,0.226 90,307.09,2631.8,2324.7,0.995 79,7.705,6.7092,1.024 80,4407.2
0.04,75.857,974.3,0.250 44,317.62,2636.1,2318.4,1.0261,7.669,6.6429,1.026 38,3993.0
0.045,78.715,972.56,0.279 65,329.62,2640.9,2311.2,1.0603,7.6288,6.5686,1.028 21,3575.9
0.05,81.317,970.94,0.308 64,340.54,2645.2,2304.7,1.0912,7.593,6.5018,1.029 93,3240.0
0.055,83.709,969.42,0.337 44,350.59,2649.2,2298.6,1.1194,7.5606,6.4412,1.031 54,2963.5
0.06,85.926,967.99,0.366 07,359.91,2652.9,2292.9,1.1454,7.5311,6.3857,1.033 07,2731.7
0.065,87.993,966.63,0.394 54,368.6,2656.3,2287.7,1.1696,7.504,6.3345,1.034 52,2534.6
0.07,89.932,965.34,0.422 87,376.75,2659.4,2282.7,1.1921,7.479,6.2869,1.035 90,2364.8
0.075,91.758,964.11,0.451 07,384.44,2662.4,2277.9,1.2132,7.4557,6.2425,1.037 23,2217.0
0.08,93.486,962.93,0.479 14,391.71,2665.2,2273.5,1.2330,7.4339,6.2009,1.038 50,2087.1
0.085,95.125,961.79,0.507 09,398.62,2667.8,2269.2,1.2518,7.4135,6.1617,1.039 72,1972.0
0.09,96.687,960.7,0.534 94,405.2,2670.3,2265.1,1.2696,7.3943,6.1246,1.040 91,1869.4
0.095,98.178,959.65,0.562 69,411.48,2672.7,2261.2,1.2866,7.3761,6.0895,1.042 05,1777.2
0.1,99.606,958.63,0.590 34,417.5,2674.9,2257.4,1.3028,7.3588,6.0561,1.043 15,1693.9
0.11,102.292,956.69,0.645 39,428.84,2679.2,2250.3,1.3330,7.3269,5.9938,1.045 27,1549.5
0.12,104.784,954.86,0.700 10,439.36,2683.1,2243.7,1.3609,7.2977,5.9367,1.047 27,1428.4
0.13,107.109,953.13,0.754 53,449.19,2686.6,2237.5,1.3868,7.2709,5.884,1.049 17,1325.3
0.14,109.292,951.49,0.808 69,458.42,2690.0,2231.6,1.4110,7.2461,5.8351,1.050 99,1236.6
0.31,134.644,930.85,1.7024,566.22,2726.4,2160.2,1.6835,6.9807,5.2972,1.074 29,587.41
0.32,135.737,929.9,1.7539,570.9,2727.8,2157.0,1.6949,6.9701,5.2752,1.075 39,570.17
0.33,136.802,928.96,1.8052,575.46,2729.3,2153.8,1.706,6.9598,5.2538,1.076 47,553.95
0.34,137.842,928.05,1.8565,579.91,2730.6,2150.7,1.7168,6.9498,5.233,1.077 53,538.64
0.35,138.857,927.15,1.9077,584.26,2732.0,2147.7,1.7274,6.9401,5.2128,1.078 57,524.18
0.36,139.849,926.27,1.9589,588.52,2733.2,2144.7,1.7377,6.9307,5.1931,1.079 60,510.5
0.37,140.819,925.4,2.0099,592.68,2734.5,2141.8,1.7477,6.9216,5.1739,1.080 61,497.53
0.38,141.769,924.55,2.0609,596.75,2735.7,2139.0,1.7575,6.9126,5.1551,1.081 61,485.22
0.39,142.698,923.71,2.1119,600.74,2736.9,2136.2,1.7671,6.904,5.1369,1.082 59,473.52
0.4,143.608,922.89,2.1627,604.65,2738.1,2133.4,1.7765,6.8955,5.119,1.083 55,462.38
0.42,145.375,921.28,2.2642,612.25,2740.3,2128.0,1.7946,6.8791,5.0846,1.085 44,441.65
0.44,147.076,919.72,2.3655,619.58,2742.4,2122.8,1.812,6.8636,5.0516,1.087 29,422.74
0.46,148.716,918.2,2.4666,626.64,2744.4,2117.7,1.8287,6.8487,5.0199,1.089 08,405.42
0.48,150.3,916.73,2.5674,633.47,2746.3,2112.8,1.8448,6.8344,4.9895,1.090 84,389.5
0.5,151.831,915.29,2.668,640.09,2748.1,2108.0,1.8604,6.8207,4.9603,1.092 55,374.81
0.52,153.314,913.89,2.7685,646.5,2749.9,2103.4,1.8754,6.8075,4.9321,1.094 23,361.2
0.54,154.753,912.52,2.8688,652.72,2751.5,2098.8,1.8899,6.7948,4.9049,1.095 87,348.58
0.56,156.149,911.18,2.9689,658.77,2753.1,2094.4,1.904,6.7825,4.8786,1.097 48,336.82
0.58,157.506,909.87,3.0689,664.65,2754.7,2090.0,1.9176,6.7707,4.8531,1.099 05,325.85
0.6,158.826,908.59,3.1687,670.38,2756.1,2085.8,1.9308,6.7592,4.8284,1.100 60,315.58
0.62,160.112,907.34,3.2684,675.96,2757.6,2081.6,1.9437,6.7482,4.8045,1.102 12,305.96
0.64,161.365,906.11,3.368,681.41,2758.9,2077.5,1.9562,6.7374,4.7813,1.103 62,296.91
0.66,162.587,904.91,3.4675,686.73,2760.3,2073.5,1.9684,6.727,4.7587,1.105 09,288.4
0.68,163.781,903.72,3.5668,691.92,2761.5,2069.6,1.9802,6.7169,4.7367,1.106 54,280.36
0.7,164.946,902.56,3.666,697.0,2762.8,2065.8,1.9918,6.7071,4.7153,1.107 96,272.77
0.72,166.086,901.42,3.7652,701.97,2763.9,2062.0,2.0031,6.6975,4.6944,1.109 36,265.59
0.74,167.2,900.3,3.8642,706.84,2765.1,2058.2,2.0141,6.6882,4.6741,1.110 75,258.79
0.76,168.291,899.19,3.9631,711.61,2766.2,2054.6,2.0248,6.6791,4.6543,1.112 11,252.33
0.78,169.36,898.1,4.062,716.28,2767.3,2051.0,2.0354,6.6703,4.6349,1.113 46,246.18
0.8,170.406,897.04,4.1608,720.86,2768.3,2047.4,2.0457,6.6616,4.616,1.114 78,240.34
0.82,171.433,895.98,4.2595,725.36,2769.3,2043.9,2.0557,6.6532,4.5975,1.116 09,234.77
0.84,172.44,894.94,4.3581,729.78,2770.3,2040.5,2.0656,6.6449,4.5793,1.117 39,229.46
0.86,173.428,893.92,4.4567,734.11,2771.2,2037.1,2.0753,6.6369,4.5616,1.118 67,224.38
0.88,174.398,892.91,4.5552,738.37,2772.1,2033.8,2.0847,6.629,4.5443,1.119 93,219.53
0.9,175.35,891.92,4.6536,742.56,2773.0,2030.5,2.094,6.6213,4.5272,1.121 18,214.89
0.92,176.287,890.93,4.752,746.68,2773.9,2027.2,2.1032,6.6137,4.5106,1.122 42,210.44
0.94,177.207,889.96,4.8503,750.73,2774.7,2024.0,2.1121,6.6063,4.4942,1.123 64,206.17
0.96,178.112,889.01,4.9486,754.72,2775.5,2020.8,2.1209,6.5991,4.4782,1.124 85,202.08
0.98,179.002,888.06,5.0468,758.65,2776.3,2017.7,2.1296,6.592,4.4624,1.126 05,198.14
1.8,207.112,856.22,9.0606,884.47,2795.9,1911.4,2.3975,6.3775,3.98,1.167 92,110.37
1.85,208.469,854.58,9.3056,890.65,2796.6,1905.9,2.4102,6.3675,3.9573,1.170 16,107.46
1.9,209.798,852.96,9.5508,896.71,2797.2,1900.5,2.4227,6.3578,3.9351,1.172 38,104.7
1.95,211.101,851.37,9.7962,902.66,2797.8,1895.1,2.4348,6.3483,3.9135,1.174 58,102.08
2.0,212.377,849.8,10.042,908.5,2798.3,1889.8,2.4468,6.339,3.8923,1.176 75,99.585
2.1,214.858,846.72,10.533,919.87,2799.3,1879.4,2.4699,6.321,3.8511,1.181 03,94.938
2.2,217.249,843.72,11.026,930.87,2800.1,1869.2,2.4921,6.3038,3.8116,1.185 23,90.698
2.3,219.557,840.79,11.519,941.53,2800.8,1859.3,2.5136,6.2872,3.7736,1.189 36,86.815
2.4,221.789,837.92,12.013,951.87,2801.4,1849.6,2.5343,6.2712,3.7369,1.193 43,83.244
2.5,223.95,835.12,12.508,961.91,2801.9,1840.0,2.5543,6.2558,3.7015,1.197 43,79.949
2.6,226.046,832.37,13.004,971.67,2802.3,1830.7,2.5736,6.2409,3.6672,1.201 38,76.899
2.7,228.08,829.68,13.501,981.18,2802.7,1821.5,2.5924,6.2264,3.634,1.205 28,74.066
2.8,230.057,827.04,14.0,990.46,2802.9,1812.4,2.6106,6.2124,3.6018,1.209 13,71.429
2.9,231.98,824.45,14.5,999.51,2803.1,1803.6,2.6283,6.1988,3.5705,1.212 93,68.968
3.0,233.853,821.9,15.001,1008.3,2803.2,1794.8,2.6455,6.1856,3.54,1.216 69,66.664
3.1,235.679,819.39,15.503,1017.0,2803.2,1786.2,2.6623,6.1727,3.5104,1.220 42,64.504
3.2,237.459,816.92,16.006,1025.4,2803.1,1777.7,2.6787,6.1602,3.4815,1.224 10,62.475
3.3,239.198,814.49,16.512,1033.7,2803.0,1769.3,2.6946,6.1479,3.4533,1.227 76,60.564
3.4,240.897,812.1,17.018,1041.8,2802.9,1761.0,2.7102,6.136,3.4258,1.231 38,58.761
3.5,242.557,809.74,17.526,1049.8,2802.6,1752.8,2.7254,6.1243,3.3989,1.234 97,57.058
3.6,244.182,807.41,18.036,1057.6,2802.4,1744.8,2.7403,6.1129,3.3726,1.238 54,55.446
3.7,245.772,805.1,18.547,1065.3,2802.1,1736.8,2.7549,6.1018,3.3469,1.242 08,53.918
3.8,247.33,802.83,19.059,1072.8,2801.7,1728.9,2.7691,6.0908,3.3217,1.245 59,52.467
3.9,248.857,800.59,19.574,1080.2,2801.3,1721.1,2.7831,6.0801,3.297,1.249 08,51.089
4.0,250.354,798.37,20.09,1087.5,2800.8,1713.3,2.7968,6.0696,3.2728,1.252 56,49.776
4.1,251.823,796.17,20.608,1094.7,2800.3,1705.7,2.8102,6.0592,3.2491,1.256 01,48.525
4.2,253.264,794.0,21.127,1101.7,2799.8,1698.1,2.8234,6.0491,3.2257,1.259 44,47.332
4.3,254.68,791.85,21.649,1108.7,2799.2,1690.6,2.8363,6.0391,3.2028,1.262 86,46.192
4.4,256.07,789.73,22.172,1115.5,2798.6,1683.1,2.849,6.0293,3.1803,1.266 26,45.102
4.5,257.437,787.62,22.697,1122.2,2797.9,1675.7,2.8615,6.0197,3.1582,1.269 65,44.059
4.6,258.78,785.53,23.224,1128.9,2797.3,1668.4,2.8738,6.0102,3.1364,1.273 02,43.059
4.7,260.101,783.47,23.753,1135.5,2796.5,1661.1,2.8859,6.0009,3.115,1.276 38,42.1
4.8,261.402,781.42,24.284,1141.9,2795.8,1653.9,2.8978,5.9917,3.0939,1.279 73,41.18
4.9,262.681,779.38,24.816,1148.3,2795.0,1646.7,2.9095,5.9826,3.0731,1.283 06,40.296
5.0,263.941,777.37,25.351,1154.6,2794.2,1639.6,2.921,5.9737,3.0527,1.286 39,39.446
5.1,265.181,775.37,25.888,1160.9,2793.4,1632.5,2.9323,5.9648,3.0325,1.289 71,38.628
5.2,266.403,773.39,26.427,1167.0,2792.5,1625.5,2.9435,5.9561,3.0126,1.293 02,37.84
5.3,267.608,771.42,26.968,1173.1,2791.6,1618.5,2.9546,5.9475,2.993,1.296 32,37.081
5.4,268.795,769.46,27.512,1179.1,2790.7,1611.5,2.9654,5.9391,2.9736,1.299 61,36.348
7.1,286.79,737.94,37.11,1272.8,2771.3,1498.5,3.1313,5.8076,2.6762,1.355 12,26.947
7.2,287.741,736.17,37.698,1277.9,2770.0,1492.1,3.1402,5.8004,2.6603,1.358 39,26.526
7.3,288.682,734.4,38.289,1282.9,2768.6,1485.7,3.1489,5.7933,2.6444,1.361 66,26.117
7.4,289.614,732.64,38.883,1287.9,2767.3,1479.3,3.1576,5.7863,2.6287,1.364 93,25.718
7.5,290.535,730.88,39.479,1292.9,2765.9,1473.0,3.1662,5.7793,2.6131,1.368 21,25.33
7.6,291.448,729.14,40.079,1297.9,2764.5,1466.6,3.1747,5.7723,2.5976,1.371 49,24.951
7.7,292.351,727.39,40.681,1302.8,2763.1,1460.3,3.1832,5.7654,2.5823,1.374 77,24.581
7.8,293.245,725.66,41.287,1307.7,2761.6,1454.0,3.1915,5.7586,2.5671,1.378 06,24.221
7.9,294.131,723.92,41.895,1312.5,2760.2,1447.7,3.1998,5.7518,2.5519,1.381 36,23.869
8.0,295.008,722.2,42.507,1317.3,2758.7,1441.4,3.2081,5.745,2.5369,1.384 67,23.526
8.1,295.876,720.47,43.122,1322.1,2757.2,1435.1,3.2162,5.7383,2.522,1.387 97,23.19
8.2,296.737,718.76,43.74,1326.8,2755.7,1428.8,3.2243,5.7316,2.5072,1.391 29,22.863
8.3,297.589,717.04,44.361,1331.6,2754.1,1422.6,3.2324,5.7249,2.4925,1.394 61,22.542
8.4,298.434,715.34,44.985,1336.3,2752.6,1416.3,3.2403,5.7183,2.4779,1.397 95,22.229
8.5,299.271,713.63,45.613,1340.9,2751.0,1410.1,3.2483,5.7117,2.4634,1.401 28,21.923
8.6,300.1,711.93,46.244,1345.6,2749.4,1403.9,3.2561,5.7051,2.449,1.404 63,21.624
8.7,300.922,710.23,46.879,1350.2,2747.8,1397.7,3.2639,5.6986,2.4347,1.407 99,21.332
8.8,301.737,708.54,47.517,1354.8,2746.2,1391.5,3.2717,5.6921,2.4204,1.411 35,21.045
8.9,302.544,706.85,48.159,1359.3,2744.6,1385.3,3.2793,5.6856,2.4062,1.414 73,20.765
9.0,303.345,705.16,48.804,1363.9,2742.9,1379.1,3.287,5.6791,2.3922,1.418 11,20.49
9.1,304.139,703.48,49.453,1368.4,2741.3,1372.9,3.2946,5.6727,2.3782,1.421 51,20.221
9.2,304.926,701.8,50.105,1372.9,2739.6,1366.7,3.3021,5.6663,2.3642,1.424 91,19.958
